stage,pose_ix,prev_stamp,curr_stamp,prev_frame_index,curr_frame_index,gap,residual_deg,alpha,row_scale,applied,reason
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.7665431027943987,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,0.8428427878612259,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.3005874979668284,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.4870844704065838,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,3.8003733403674524,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.9960756971721745,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8372081347025313,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.1130449844615877,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.817175630791468,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.748719135779708,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.144124978580803,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.3272974454376274,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8140583973121525,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2188337447602138,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.843995463819632,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.752891982582749,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.167521800782132,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.34361789836619,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.799664252925877,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2078244482328728,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8356387292345198,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7631614886582176,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.164938110377382,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.323366949914698,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.808163247227248,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2087098880013265,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8421492238519837,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7683842426197045,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.17221970371924,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.332122080798969,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8085827889049118,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2038265809781965,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8411790774658976,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7677779083735885,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.17194644842702,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.3292103453973647,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8097305361498428,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.201886230987602,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8390495230636916,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7705200688231684,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.169416081845234,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.328214469934621,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8066551701808065,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2039478750550585,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8387891660486266,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7715835869039473,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.167665019668248,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.3269076198115717,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8232368267841628,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2397981775821696,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.7594512533761786,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7557250403171087,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.164890732248555,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.327369340113325,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8020854863150635,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2120307389077558,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.818110511367913,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.769781339577721,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.1707736039104,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.3303561887740547,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8050923490369641,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2030741010468913,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8393170483105905,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7780876482078796,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.167327860691433,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.326182719511353,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.8041735961492207,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2065255917339512,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8414776462015667,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7774303957079076,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.160843497358566,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.3258200536361424,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.802461176088594,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2036096435958266,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8385887197930972,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.7730278608437517,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.163129174770873,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.3269277409193365,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.802700004941043,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.2004110623041415,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.8358917239597874,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.768857513199769,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.164889127489845,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.3284490037010643,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,1.803993260161774,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.200354512148633,0.0,,0,ok
