stage,pose_ix,prev_stamp,curr_stamp,prev_frame_index,curr_frame_index,gap,residual_deg,alpha,row_scale,applied,reason
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,0.2649995547498079,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,0.6149441412591229,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,2.851900367512908,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,2.2262018825616923,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,3.550337252256581,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.851111071432451,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.2193634726507967,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.7528884077729487,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.1764121645979366,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.140173843189328,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.94579846909558,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.743560058207632,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.126680294472438,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.7854081921793843,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.2567015523040976,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1405333972026757,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.953774597738037,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.7626522914199683,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.152978968198082,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8098292203143675,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.2387713585780338,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.147178573272008,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.948465305996854,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.752996460199413,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.1639314607890903,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8103846668651635,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.245073313368369,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1552524419583667,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.959453624364821,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.758031946010049,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.176080035362111,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8058803342021974,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.2410822089708353,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.149303807436169,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.955435092681761,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.75301439380867,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.1816624271938045,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.80680572839179,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.238830528114787,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1508554711447667,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.949572603987632,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.750462206203405,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.1784279874336034,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8092817576675784,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.236887492651397,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1470094488230145,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.943962060957058,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.75175051047114,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.2357932625291776,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8639771994944123,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.129126306002813,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.132450651002775,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.981446332761943,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.7852460084407493,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.16430427660508,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8192636824372141,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.2036918466544333,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1503076002987935,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.94445690557256,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.7703709586431975,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.1665703632535713,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8075108282443983,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.2410694185915188,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1595917570334016,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.934054249205595,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.7579074089428284,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.1647549191158615,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8099577821226178,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.2439087474750306,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1513240474428077,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.9329696406963395,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.75796198279259,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.165501983828026,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.805738272292478,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.241924301811689,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.142815377106893,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.936190567646032,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.7587965989707364,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.1660906436784515,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8040978111211237,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.2398566021424404,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.138559111556851,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.938382635944628,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.761232601691656,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.1676991622495896,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.803579557639963,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.237897983335403,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.138416222247406,0.02,1.0,1,ok
frontend,6,144.0,147.0,144,147,3,4.939438852186947,0.02,1.0,1,ok
frontend,7,147.0,151.0,147,151,4,3.760760682039284,0.02,1.0,1,ok
frontend,1,0.0,125.0,,125,,,,,0,stamp_not_matched
frontend,2,125.0,132.0,125,132,7,2.166466928383838,0.02,1.0,1,ok
frontend,3,132.0,136.0,132,136,4,1.8042720305275894,0.0,,0,ok
frontend,4,136.0,141.0,136,141,5,3.235488986007634,0.02,1.0,1,ok
frontend,5,141.0,144.0,141,144,3,3.1384442398363963,0.02,1.0,1,ok
