stage,pose_ix,prev_stamp,curr_stamp,prev_frame_index,curr_frame_index,gap,residual_deg,alpha,alpha_base,row_scale,confidence,applied,reason
frontend,1,0.0,1.0,0,1,1,0.21669429609749732,0.001460809588432312,0.002,1.0,0.730404794216156,1,ok
frontend,2,1.0,2.0,1,2,1,0.2289495725566093,0.0014828522205352784,0.002,1.0,0.7414261102676392,1,ok
frontend,3,2.0,3.0,2,3,1,0.24259455020336276,0.0014933983087539672,0.002,1.0,0.7466991543769836,1,ok
frontend,4,3.0,4.0,3,4,1,0.23780647292597423,0.00155629825592041,0.002,1.0,0.7781491279602051,1,ok
frontend,5,4.0,5.0,4,5,1,0.22089735461421148,0.0015601208209991455,0.002,1.0,0.7800604104995728,1,ok
frontend,6,5.0,6.0,5,6,1,0.23104278993680352,0.001559488892555237,0.002,1.0,0.7797444462776184,1,ok
frontend,7,6.0,7.0,6,7,1,0.23091181710639413,0.0015610035657882691,0.002,1.0,0.7805017828941345,1,ok
frontend,1,0.0,1.0,0,1,1,0.19439991995200998,0.000902513086795807,0.002,1.0,0.45125654339790344,1,ok
frontend,2,1.0,2.0,1,2,1,0.22661698415188966,0.0009182847142219544,0.002,1.0,0.4591423571109772,1,ok
frontend,3,2.0,3.0,2,3,1,0.24443863885530212,0.0009286487102508545,0.002,1.0,0.46432435512542725,1,ok
frontend,4,3.0,4.0,3,4,1,0.232499306835289,0.0009451953768730164,0.002,1.0,0.4725976884365082,1,ok
frontend,5,4.0,5.0,4,5,1,0.2163364458175603,0.000953565001487732,0.002,1.0,0.47678250074386597,1,ok
frontend,6,5.0,6.0,5,6,1,0.2353937022909256,0.0009569777846336365,0.002,1.0,0.47848889231681824,1,ok
frontend,7,6.0,7.0,6,7,1,0.23147839322814795,0.0009546048641204835,0.002,1.0,0.4773024320602417,1,ok
frontend,1,0.0,1.0,0,1,1,0.22100829903599634,0.0008139235377311707,0.002,1.0,0.4069617688655853,1,ok
frontend,2,1.0,2.0,1,2,1,0.23014121730668455,0.000825799822807312,0.002,1.0,0.412899911403656,1,ok
