stage,pose_ix,prev_stamp,curr_stamp,prev_frame_index,curr_frame_index,gap,residual_deg,alpha,alpha_base,row_scale,confidence,applied,reason
frontend,1,0.0,139.0,0,139,139,,,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.158272470210422,0.0015922312736511232,0.002,1.0,0.7961156368255615,1,ok
frontend,3,142.0,150.0,142,150,8,7.223785682066715,0.0016086158752441407,0.002,1.0,0.8043079376220703,1,ok
frontend,4,150.0,155.0,150,155,5,6.661102634766254,0.0016936835050582887,0.002,1.0,0.8468417525291443,1,ok
frontend,5,155.0,163.0,155,163,8,3.8929143470949765,0.0017094436883926393,0.002,1.0,0.8547218441963196,1,ok
frontend,6,163.0,167.0,163,167,4,5.002309291830143,0.0017488059997558595,0.002,1.0,0.8744029998779297,1,ok
frontend,7,167.0,171.0,167,171,4,3.461374570475782,0.001784597396850586,0.002,1.0,0.892298698425293,1,ok
frontend,1,0.0,139.0,0,139,139,,,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.206771087222164,0.000571049451828003,0.002,1.0,0.28552472591400146,1,ok
frontend,3,142.0,150.0,142,150,8,8.239777339502739,0.0005613318085670472,0.002,1.0,0.28066590428352356,1,ok
frontend,4,150.0,155.0,150,155,5,6.968778521090814,0.0005150859355926514,0.002,1.0,0.2575429677963257,1,ok
frontend,5,155.0,163.0,155,163,8,4.43350427478688,0.0005103324055671692,0.002,1.0,0.2551662027835846,1,ok
frontend,6,163.0,167.0,163,167,4,4.735719832359271,0.0004954050183296204,0.002,1.0,0.24770250916481018,1,ok
frontend,7,167.0,171.0,167,171,4,2.3380388969090267,0.0004828766882419586,0.002,1.0,0.2414383441209793,1,ok
frontend,1,0.0,139.0,0,139,139,,,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.197947655351157,0.000530351996421814,0.002,1.0,0.265175998210907,1,ok
frontend,3,142.0,150.0,142,150,8,8.317303651248526,0.0005316933989524842,0.002,1.0,0.26584669947624207,1,ok
frontend,4,150.0,155.0,150,155,5,6.843619515365699,0.0004984740316867828,0.002,1.0,0.24923701584339142,1,ok
frontend,5,155.0,163.0,155,163,8,4.752082533401391,0.0004945725798606872,0.002,1.0,0.24728628993034363,1,ok
frontend,6,163.0,167.0,163,167,4,4.612875845470402,0.0004708636403083801,0.002,1.0,0.23543182015419006,1,ok
frontend,7,167.0,171.0,167,171,4,2.205403540451111,0.0004572499990463257,0.002,1.0,0.22862499952316284,1,ok
frontend,1,0.0,139.0,0,139,139,,,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.136494426481134,0.0005270885229110717,0.002,1.0,0.2635442614555359,1,ok
frontend,3,142.0,150.0,142,150,8,8.28045791818722,0.0005222879648208618,0.002,1.0,0.2611439824104309,1,ok
frontend,4,150.0,155.0,150,155,5,6.830553884780481,0.0005144762396812439,0.002,1.0,0.25723811984062195,1,ok
frontend,5,155.0,163.0,155,163,8,4.731593013461363,0.0005155023336410522,0.002,1.0,0.2577511668205261,1,ok
