stage,pose_ix,prev_stamp,curr_stamp,prev_frame_index,curr_frame_index,gap,residual_deg,alpha,row_scale,applied,reason
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.158272470210422,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,7.222195905411833,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.659411956732732,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,3.891160664617367,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,5.002880212656391,0.002,1.0,1,ok
frontend,7,167.0,171.0,167,171,4,3.462614798087352,0.002,1.0,1,ok
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.206734698182042,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,8.234035175450547,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.961426755541084,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,4.423720637939235,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,4.737664426594252,0.002,1.0,1,ok
frontend,7,167.0,171.0,167,171,4,2.3457641491207952,0.002,1.0,1,ok
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.198896832500909,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,8.308810582813308,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.835187066686585,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,4.7429175091044495,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,4.6136987828166,0.002,1.0,1,ok
frontend,7,167.0,171.0,167,171,4,2.2121995335561544,0.002,1.0,1,ok
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.135129307278912,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,8.269437912285719,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.821697974653154,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,4.7221976215565435,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,4.61326627225717,0.002,1.0,1,ok
frontend,7,167.0,171.0,167,171,4,2.207027502965451,0.002,1.0,1,ok
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.093966177522227,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,8.270475451693978,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.812825657958497,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,4.743494020983018,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,4.597951678633167,0.002,1.0,1,ok
frontend,7,167.0,171.0,167,171,4,2.1856540190473934,0.002,1.0,1,ok
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.104424946991046,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,8.273449590589557,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.81304997121685,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,4.734838904056233,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,4.594861184076522,0.002,1.0,1,ok
frontend,7,167.0,171.0,167,171,4,2.189787646660039,0.002,1.0,1,ok
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.106169150717687,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,8.280144090924484,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.813365752163347,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,4.738268007299435,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,4.598248820828823,0.002,1.0,1,ok
frontend,7,167.0,171.0,167,171,4,2.187860373250596,0.002,1.0,1,ok
frontend,1,0.0,139.0,0,139,139,,,,0,gap_too_large
frontend,2,139.0,142.0,139,142,3,5.108876732688699,0.002,1.0,1,ok
frontend,3,142.0,150.0,142,150,8,8.288906470185676,0.002,1.0,1,ok
frontend,4,150.0,155.0,150,155,5,6.8158806013283595,0.002,1.0,1,ok
frontend,5,155.0,163.0,155,163,8,4.739090349550809,0.002,1.0,1,ok
frontend,6,163.0,167.0,163,167,4,4.60100909356827,0.002,1.0,1,ok
